word, category
Christmas,SEASONS
Snow, SEASONS
Rain,SEASONS
Easter,SEASONS
Winter,SEASONS
Spring,SEASONS
Summer,SEASONS
Autumn,SEASONS
Halloween,SEASONS
Ocean,PLACES
Fields,PLACES
Meadow,PLACES
River,PLACES
Beach,PLACES
Sky,PLACES
City,PLACES
Countryside,PLACES
Garden,PLACES
Cottage,PLACES
Space,PLACES
Troll,CREATURE
Pixie,CREATURE
Centaur,CREATURE
Witch,CREATURE
Dragon,CREATURE
Vampire,CREATURE
Goblin,CREATURE
Elf,CREATURE
Dwarf,CREATURE
Unicorn,CREATURE
Zombie,CREATURE
Werewolf,CREATURE
Ghost,CREATURE
Mermaid,CREATURE
Hag,CREATURE
Dark,MOOD
Sad,MOOD
Happy,MOOD
Laughing,MOOD
Depressed,MOOD
Excited,MOOD
Waiting,MOOD
Calm,MOOD
Confident,MOOD
Angry,MOOD
Irritated,MOOD
Frog,ANIMALS
Spider,ANIMALS
Mouse,ANIMALS
Horse,ANIMALS
Cow,ANIMALS
Pig,ANIMALS
Bat,ANIMALS
Cat,ANIMALS
Dog,ANIMALS
Butterfly,ANIMALS
Fox,ANIMALS
Wolf,ANIMALS
Bee,ANIMALS
Turtle,ANIMALS
Fish,ANIMALS
Bird,ANIMALS
Chicken,ANIMALS
Bug,ANIMALS
Cup,OBJECTS
Car,OBJECTS
Bicycle,OBJECTS
Chair,OBJECTS
House,OBJECTS
Tree,OBJECTS
Flower,OBJECTS
Pumpkin,OBJECTS
Window,OBJECTS
Pencil,OBJECTS
Yarn,OBJECTS
Vase,OBJECTS
Hat,OBJECTS
Cake,OBJECTS
Church,OBJECTS
Book,OBJECTS
Candle,OBJECTS
Dot,PATTERNS
Square,PATTERNS
Triangle,PATTERNS
Wave,PATTERNS
Line,PATTERNS
Circle,PATTERNS
Sitting,MOVEMENT
Sleeping,MOVEMENT
Running,MOVEMENT
Standing,MOVEMENT
Talking,MOVEMENT
Falling,MOVEMENT

